tag	artists	albums	tracks
synthesizer	622	1458	1458
piano	618	1419	1419
bass	574	1061	1061
drums	565	1060	1060
guitar	500	880	880
electricguitar	484	857	857
acousticguitar	227	376	376
computer	224	464	464
keyboard	201	355	355
voice	200	305	305
drummachine	180	318	318
violin	176	362	362
electricpiano	129	205	205
sampler	124	222	222
strings	120	221	221
cello	112	184	184
flute	107	156	156
saxophone	95	137	137
percussion	84	126	126
classicalguitar	81	122	122
trumpet	76	112	112
beat	69	127	127
orchestra	67	138	138
doublebass	58	88	88
harp	56	87	87
viola	54	72	72
bell	53	74	74
accordion	52	76	76
acousticbassguitar	47	63	63
horn	44	86	86
pipeorgan	43	55	55
rhodes	37	62	62
brass	36	70	70
clarinet	36	53	53
harmonica	36	41	41
ukulele	35	84	84
trombone	33	50	50
electronicorgan	32	50	50
oboe	32	43	43
pad	30	42	42
bongo	27	47	47
glockenspiel	27	38	38
hammond	26	40	40
cymbal	24	28	28
tambourine	23	27	27
timpani	22	29	29
choir	20	39	39
xylophone	20	27	27
slideguitar	20	21	21
organ	19	29	29
banjo	18	24	24
vibraphone	17	24	24
sitar	17	19	19
panflute	16	19	19
tuba	15	18	18
cajon	15	16	16
conga	15	16	16
djembe	15	15	15
harpsichord	13	20	20
bassoon	13	13	13
woodwind	11	17	17
tabla	11	15	15
melodica	11	11	11
marimba	10	19	19
bassguitar	10	12	12
celesta	9	19	19
ewi	9	10	10
mandolin	9	10	10
cabasa	8	10	10
tubularbell	8	9	9
mellotron	8	8	8
tinwhistle	8	8	8
oud	7	8	8
gobletdrum	7	7	7
koto	7	7	7
triangle	7	7	7
vocoder	7	7	7
woodblock	7	7	7
cvp509	6	25	25
kalimba	6	9	9
carillon	6	7	7
bagpipes	6	6	6
bodhran	6	6	6
taiko	6	6	6
hang	5	8	8
metallophone	5	7	7
ney	5	6	6
balalaika	5	5	5
flugelhorn	5	5	5
jewsharp	5	5	5
castanets	4	6	6
mbira	4	5	5
clavier	4	4	4
didgeridoo	4	4	4
dunun	4	4	4
fiddle	4	4	4
lapsteelguitar	4	4	4
shekere	4	4	4
udu	4	4	4
berimbau	3	6	6
cimbalom	3	6	6
musicalsaw	3	6	6
piccolo	3	6	6
santur	3	4	4
cowbell	3	3	3
mellophone	3	3	3
alboka	2	6	6
bombarde	2	5	5
harmonium	2	5	5
balafon	2	2	2
bandoneon	2	2	2
bandura	2	2	2
clavichord	2	2	2
erhu	2	2	2
euphonium	2	2	2
guiro	2	2	2
kaosspad	2	2	2
kazoo	2	2	2
lute	2	2	2
mandola	2	2	2
ocarina	2	2	2
shamisen	2	2	2
tambura	2	2	2
tamtam	2	2	2
theremin	2	2	2
washboard	2	2	2
alphorn	1	1	1
chapmanstick	1	1	1
charango	1	1	1
concertina	1	1	1
gimbri	1	1	1
glassharmonica	1	1	1
handbell	1	1	1
kora	1	1	1
lyre	1	1	1
pandeiro	1	1	1
singingbowl	1	1	1
steelpan	1	1	1
surdo	1	1	1
