tag	artists	albums	tracks
piano	866	2123	7750
synthesizer	744	1820	7496
bass	720	1387	5726
drums	710	1440	6120
guitar	704	1343	4804
electricguitar	605	1152	4241
acousticguitar	323	568	1947
violin	274	571	1837
voice	257	402	1604
computer	249	510	2080
keyboard	244	439	2044
strings	228	442	1278
drummachine	211	397	1764
flute	194	349	859
electricpiano	175	295	1282
cello	173	307	1114
saxophone	158	252	891
trumpet	150	245	873
percussion	145	247	908
sampler	141	260	1070
orchestra	119	242	640
beat	119	197	631
classicalguitar	117	191	721
bell	98	153	473
doublebass	95	144	440
accordion	90	143	416
harp	88	173	589
viola	85	127	398
horn	78	144	463
rhodes	76	125	543
pipeorgan	74	104	290
brass	73	127	518
acousticbassguitar	71	106	309
clarinet	69	106	364
organ	69	113	157
trombone	66	102	497
harmonica	64	94	229
pad	58	85	190
ukulele	57	144	386
bongo	51	84	315
oboe	50	83	278
hammond	47	74	409
glockenspiel	47	80	213
electronicorgan	46	79	467
timpani	45	68	202
sitar	44	51	79
choir	44	71	155
xylophone	44	67	137
slideguitar	44	61	110
vibraphone	39	67	158
tambourine	39	51	102
banjo	37	61	145
conga	37	46	116
cymbal	34	44	173
panflute	34	48	94
marimba	29	50	189
mandolin	29	43	109
djembe	29	33	57
vocoder	27	30	44
tuba	27	36	84
bassoon	24	30	76
harpsichord	23	32	70
cajon	22	27	61
mellotron	22	31	79
bassguitar	20	24	71
tabla	20	30	82
taiko	20	28	48
melodica	20	26	58
celesta	17	41	186
woodwind	17	29	198
piccolo	16	23	34
koto	15	20	36
triangle	15	17	35
kalimba	15	23	33
tubularbell	15	16	67
bagpipes	14	18	32
tinwhistle	14	18	48
didgeridoo	14	16	22
gobletdrum	13	15	20
woodblock	12	16	39
oud	12	15	37
ewi	11	13	39
castanets	11	13	28
lapsteelguitar	11	17	36
cabasa	10	12	34
fiddle	10	11	23
theremin	9	9	10
kaosspad	9	13	38
bandoneon	9	11	13
erhu	8	8	21
cowbell	8	8	20
santur	8	11	15
tamtam	8	9	16
bodhran	8	8	13
flugelhorn	8	10	23
clavier	8	12	34
carillon	8	13	20
ney	8	13	30
udu	7	9	9
shamisen	7	9	10
jewsharp	7	8	11
metallophone	6	9	17
hang	6	9	18
shekere	6	6	7
cvp509	6	27	267
ocarina	6	6	6
lute	6	6	10
cimbalom	6	11	52
balalaika	6	8	29
dunun	6	6	17
guiro	5	5	7
mellophone	5	5	21
charango	5	9	9
steelpan	5	5	8
mbira	5	6	13
balafon	4	5	5
berimbau	4	7	17
clavichord	4	4	7
bombarde	4	7	9
euphonium	4	4	4
tambura	4	5	6
pandeiro	4	6	8
kazoo	3	3	4
mandola	3	3	6
musicalsaw	3	6	46
cuica	3	3	3
bandura	2	2	3
singingbowl	2	2	2
alboka	2	6	8
washboard	2	2	12
alphorn	2	2	2
chapmanstick	2	2	2
harmonium	2	5	27
handbell	1	1	1
sousaphone	1	1	1
kora	1	1	1
continuum	1	1	1
concertina	1	3	5
sarangi	1	1	1
lyre	1	1	1
sarrusophone	1	1	1
surdo	1	1	1
gimbri	1	2	3
glassharmonica	1	1	1
tubax	1	1	1
