tag	artists	albums	tracks
electronic	1546	4091	16480
rock	1019	1891	6865
pop	993	2149	7805
ambient	884	2080	7570
soundtrack	659	2102	8094
alternative	634	1117	3761
experimental	598	1161	3941
easylistening	583	1423	4833
classical	567	1493	5602
dance	464	964	2827
chillout	440	969	3678
jazz	402	748	2371
poprock	378	750	2172
indie	355	673	2632
world	349	621	1887
folk	347	667	2498
techno	346	678	2179
hiphop	335	593	2657
lounge	331	687	2259
house	327	685	2169
funk	319	507	1283
orchestral	300	795	2434
popfolk	289	522	1808
atmospheric	276	489	1395
trance	267	559	1528
instrumentalpop	261	417	1477
newage	260	600	2202
blues	253	405	1082
metal	232	382	1435
progressive	229	378	1078
electropop	220	408	1003
triphop	220	376	1343
reggae	206	319	1245
downtempo	189	365	1431
minimal	174	255	629
rap	172	260	993
rnb	163	230	568
punkrock	161	230	729
psychedelic	160	253	590
instrumentalrock	151	218	598
industrial	142	212	696
dubstep	140	229	547
latin	140	238	704
drumnbass	140	217	501
ethno	137	184	429
fusion	135	212	512
club	133	199	579
symphonic	131	245	712
electronica	126	167	325
country	126	195	584
disco	123	189	447
singersongwriter	122	212	776
darkambient	119	221	509
breakbeat	117	161	382
soul	115	163	504
synthpop	114	216	635
dub	109	159	445
hardrock	108	145	490
rocknroll	100	142	342
80s	94	135	312
contemporary	91	127	318
eurodance	88	134	244
grunge	81	121	375
improvisation	81	111	332
groove	79	107	216
postrock	79	112	377
alternativerock	75	87	215
90s	75	116	359
celtic	74	107	308
deephouse	74	146	427
jazzfunk	73	107	191
idm	71	101	287
bossanova	70	82	148
swing	66	85	169
darkwave	66	101	282
70s	65	96	202
acidjazz	64	116	304
classicrock	64	96	222
newwave	64	90	187
oriental	62	73	134
hard	60	69	177
chanson	59	83	310
ethnicrock	58	67	140
jazzfusion	57	106	221
60s	57	88	179
choir	56	90	167
gothic	54	70	213
ska	54	78	267
edm	54	116	281
worldfusion	53	80	214
bluesrock	52	72	139
heavymetal	52	71	222
medieval	52	67	135
tribal	51	69	175
african	50	63	121
